,Parcel ID,Address,sale_date,year,month,year-month,sale_price,yr_built,square_feet,price_sf,lat,long,GEOID,Sub_geo,geometry
10046,60901023,334 SUMMER PL,4/27/18,2018,4,2018-4,267500,1988,1761,151.9023282,33.3492646,-84.5336778,13113140308,South Fayette,POINT (-84.5336778 33.3492646)
13346,52430002,110 HELEN SAMS PKWY,3/31/22,2022,3,2022-3,530000,2021,3489,151.9059903,33.4371439,-84.4386413,13113140409,Fayetteville,POINT (-84.4386413 33.4371439)
14680,60210028,155 INVERNESS SHORES DR,8/29/18,2018,8,2018-8,470000,1999,3094,151.9069166,33.371697,-84.5252703,13113140307,South Fayette,POINT (-84.5252703 33.371697)
10478,50505021,135 STONE CREEK CT,2/12/18,2018,2,2018-2,194900,1998,1283,151.9095869,33.4015724,-84.4171229,13113140408,South Fayette,POINT (-84.4171229 33.4015724)
1859,54802033,110 SAGAMORE CT,9/18/20,2020,9,2020-9,350000,1993,2304,151.9097222,33.5146517,-84.497822,13113140104,Fayetteville,POINT (-84.497822 33.5146517)
2221,74619001,111 WESTBERRY ST,2/26/19,2019,2,2019-2,514373,2018,3386,151.9116952,33.4165508,-84.6119957,13113140210,West Fayette,POINT (-84.6119957 33.4165508)
4968,73313006,290 TURNBRIDGE CIR,9/17/19,2019,9,2019-9,306900,2007,2020,151.9306931,33.4033941,-84.6035288,13113140210,West Fayette,POINT (-84.6035288 33.4033941)
1569,73402011,307 PINEGATE RD,2/10/20,2020,2,2020-2,301000,1973,1981,151.9434629,33.4140873,-84.5924846,13113140209,West Fayette,POINT (-84.5924846 33.4140873)
5258,60804033,705 MATTAN PT,8/31/20,2020,8,2020-8,320000,1989,2106,151.9468186,33.3570241,-84.5483661,13113140309,South Fayette,POINT (-84.5483661 33.3570241)
10945,0518  075,135 GANTT LN,8/30/22,2022,8,2022-8,425000,1976,2797,151.9485163,33.4218361,-84.438067,13113140409,Fayetteville,POINT (-84.438067 33.4218361)
9514,52418003,190 ORCHARD VW,6/4/21,2021,6,2021-6,222605,1999,1465,151.9488055,33.4429553,-84.439236,13113140410,Fayetteville,POINT (-84.439236 33.4429553)
6825,71720005,501 RAINTREE HL,2/3/21,2021,2,2021-2,358000,1981,2356,151.9524618,33.3962988,-84.5562264,13113140304,West Fayette,POINT (-84.5562264 33.3962988)
7915,0524  065,145 ROSEWOOD DR,7/18/23,2023,7,2023-7,260000,1970,1711,151.9579193,33.4530792,-84.4381695,13113140406,Fayetteville,POINT (-84.4381695 33.4530792)
5050,73410008,517 PINEGATE RD,9/27/19,2019,9,2019-9,410000,1986,2698,151.9644181,33.4174997,-84.5951232,13113140209,West Fayette,POINT (-84.5951232 33.4174997)
