,Parcel ID,Address,sale_date,sale_price,yr_built,square_feet,full_address,unique_ID,price_sf,sale_year,year,month,year-month
2828,070403001,105 RISING MIST DR,2019-05-29,344400.0,2005,2849,105 Rising Mist Dr Fayette County GA,070403001-5/29/2019-344400.0,120.88452088452088,2019,2019,5,2019-5
2829,130403019,103 SHIMMERING WATERS LN,2019-05-29,323500.0,2008,3360,103 Shimmering Waters Ln Fayette County GA,130403019-5/29/2019-323500.0,96.2797619047619,2019,2019,5,2019-5
2830,060114005,295 INVERNESS SHORES DR,2019-05-28,515000.0,1999,3010,295 Inverness Shores Dr Fayette County GA,060114005-5/28/2019-515000.0,171.09634551495017,2019,2019,5,2019-5
2831,060310015,400 WOODCREEK LN,2019-05-28,570000.0,1997,3541,400 Woodcreek Ln Fayette County GA,060310015-5/28/2019-570000.0,160.97147698390285,2019,2019,5,2019-5
2832,060705005,109 CHESTNUT FLD,2019-05-28,289900.0,1984,2133,109 Chestnut Fld Fayette County GA,060705005-5/28/2019-289900.0,135.91186122831692,2019,2019,5,2019-5
2833,061117066,813 RIDGEFIELD DR,2019-05-28,156500.0,1987,1292,813 Ridgefield Dr Fayette County GA,061117066-5/28/2019-156500.0,121.13003095975232,2019,2019,5,2019-5
2834,060114008,125 WOODBERRY PL,2019-05-28,539000.0,1999,2866,125 Woodberry Pl Fayette County GA,060114008-5/28/2019-539000.0,188.06699232379623,2019,2019,5,2019-5
2835,0714  065,163 EBENEZER RD,2019-05-28,459000.0,2017,3545,163 Ebenezer Rd Fayette County GA,0714  065-5/28/2019-459000.0,129.47813822284908,2019,2019,5,2019-5
2836,042405012,135 BURKWOOD CT,2019-05-28,509000.0,2007,2713,135 Burkwood Ct Fayette County GA,042405012-5/28/2019-509000.0,187.61518614080353,2019,2019,5,2019-5
2837,052602003,165 DEN CREEK TRL,2019-05-28,239900.0,1991,2236,165 Den Creek Trl Fayette County GA,052602003-5/28/2019-239900.0,107.28980322003578,2019,2019,5,2019-5
2838,0551  009,331 KENWOOD RD,2019-05-28,145000.0,1965,1605,331 Kenwood Rd Fayette County GA,0551  009-5/28/2019-145000.0,90.34267912772586,2019,2019,5,2019-5
2839,070318007,375 DISCOVERY LAKE DR,2019-05-28,430000.0,2018,3702,375 Discovery Lake Dr Fayette County GA,070318007-5/28/2019-430000.0,116.15343057806591,2019,2019,5,2019-5
2840,074519013,404 CEDAR PINE CT,2019-05-28,547903.0,2019,2177,404 Cedar Pine Ct Fayette County GA,074519013-5/28/2019-547903.0,251.67799724391364,2019,2019,5,2019-5
2841,052325005,175 TREESIDE TER,2019-05-28,307500.0,2019,2526,175 Treeside Ter Fayette County GA,052325005-5/28/2019-307500.0,121.73396674584323,2019,2019,5,2019-5
2842,071820002,202 CARRIAGE LN,2019-05-28,1110000.0,2015,5306,202 Carriage Ln Fayette County GA,071820002-5/28/2019-1110000.0,209.19713531850735,2019,2019,5,2019-5
2843,072303039,120 HEALEY PASS,2019-05-28,289000.0,1995,2004,120 Healey Pass Fayette County GA,072303039-5/28/2019-289000.0,144.2115768463074,2019,2019,5,2019-5
2844,073525006,206 LAS BRASIS CT,2019-05-28,225000.0,1997,1528,206 Las Brasis Ct Fayette County GA,073525006-5/28/2019-225000.0,147.25130890052355,2019,2019,5,2019-5
2845,052915002,140 SWEETWATER DR,2019-05-28,300000.0,1998,2633,140 Sweetwater Dr Fayette County GA,052915002-5/28/2019-300000.0,113.93847322445879,2019,2019,5,2019-5
